Title,Summary,Case ID,Episode ID,Argument Date
"Seven County Infrastructure Coalition v. Eagle County, Colorado, No. 23-975 [Arg: 12.10.2024]",Whether the National Environmental Policy Act requires an agency to study environmental impacts beyond the proximate effects of the action over which the agency has regulatory authority.,23-975,,12/10/2024
"Dewberry Group v. Dewberry Engineers, No. 23-900 [Arg: 12.11.2024]",Whether an award of the 'defendant’s profits' under the Lanham Act can include an order for the defendant to disgorge the distinct profits of legally separate non-party corporate affiliates.,23-900,,12/11/2024
"Royal Canin U.S.A. v. Wullschleger, No. 23-677 [Arg: 10.7.2024]",Whether a post-removal amendment of a complaint to omit federal questions defeats federal-question subject matter jurisdiction pursuant to 28 U.S.C. § 1331; and whether such a post-removal amendment precludes a district court from exercising supplemental jurisdiction over the plaintiff’s remaining state-law claims pursuant to 28 U.S.C. § 1367.,23-677,,10/7/2024
"Williams v. Washington, No. 23-191 [Arg: 10.7.2024]",Whether exhaustion of state administrative remedies is required to bring claims under 42 U.S.C. § 1983 in state court.,23-191,,10/7/2024
"Garland v. VanDerStok, No. 23-852 [Arg: 10.8.2024]","Whether 'a weapon parts kit' under 27 C.F.R. § 478.11 is a 'firearm' regulated by the Gun Control Act of 1968; and whether 'a partially complete, disassembled, or nonfunctional frame or receiver' is a 'frame or receiver' regulated by the act.",23-852,,10/8/2024
"Lackey v. Stinnie, No. 23-621 [Arg: 10.8.2024]",Whether a party must obtain a ruling that conclusively decides the merits to prevail under 42 U.S.C. § 1988; and whether a party must obtain an enduring change in legal relationship to prevail under Section 1988.,23-621,,10/8/2024
"Glossip v. Oklahoma, No. 22-7466 [Arg: 10.9.2024]",Whether the state's suppression of key witness testimony violates due process under Brady v. Maryland and Napue v. Illinois; and whether Oklahoma's state-law ground for judgment precluded post-conviction relief.,22-7466,,10/9/2024
"Bouarfa v. Mayorkas, No. 23-583 [Arg: 10.15.2024]",Whether a visa petitioner may obtain judicial review when an approved petition is revoked on nondiscretionary criteria.,23-583,,10/15/2024
"Medical Marijuana v. Horn, No. 23-365 [Arg: 10.15.2024]",Whether economic harms resulting from personal injuries are injuries to 'business or property' under the Racketeer Influenced and Corrupt Organizations Act.,23-365,,10/15/2024
"City and County of San Francisco v. Environmental Protection Agency, No. 23-753 [Arg: 10.16.2024]",Whether the Clean Water Act allows the EPA to impose generic prohibitions in permits subjecting holders to enforcement for violating standards without identifying specific limits.,23-753,,10/16/2024
"Bufkin v. McDonough, No. 23-713 [Arg: 10.16.2024]",Whether the U.S. Court of Appeals for Veterans Claims must ensure that the benefit-of-the-doubt rule was properly applied in claims process to satisfy 38 U.S.C. § 7261(b)(1).,23-713,,10/16/2024
"Food and Drug Administration v. Wages and White Lion Investments, LLC, No. 23-1038 [Arg: 12.2.2024]",Whether the court of appeals erred in setting aside the FDA’s orders denying respondents’ applications for authorization to market new e-cigarette products as arbitrary and capricious.,23-1038,,12/2/2024
"U.S. v. Miller, No. 23-824 [Arg: 12.2.2024]",Whether a bankruptcy trustee may avoid a debtor’s tax payment under 11 U.S.C. § 544(b) when no actual creditor could have obtained relief under state fraudulent-transfer law outside of bankruptcy.,23-824,,12/2/2024
"Republic of Hungary v. Simon, No. 23-867 [Arg: 12.3.2024]","Whether historical commingling of assets establishes that proceeds of seized property have a commercial nexus with the U.S. under FSIA, and whether a sovereign defendant bears burden of disproving the nexus.",23-867,,12/3/2024
"U.S. v. Skrmetti, No. 23-477 [Arg: 12.4.2024]",Whether Tennessee Senate Bill 1 violates the equal protection clause of the 14th Amendment.,23-477,,12/4/2024
"Kousisis v. U.S., No. 23-909 [Arg: 12.9.2024]",Whether deception to induce a commercial exchange constitutes mail or wire fraud even if economic harm was not the object; and whether all contract rights are 'property.',23-909,,12/9/2024
"Feliciano v. Department of Transportation, No. 23-861 [Arg: 12.9.2024]",Whether a federal civilian employee ordered to active duty during a national emergency is entitled to differential pay even if the duty is not directly connected to the emergency.,23-861,,12/9/2024
"Seven County Infrastructure Coalition v. Eagle County, Colorado, No. 23-975 [Arg: 12.10.2024]",Whether the National Environmental Policy Act requires an agency to study environmental impacts beyond the proximate effects of the action under its authority.,23-975,,12/10/2024
"Dewberry Group v. Dewberry Engineers, No. 23-900 [Arg: 12.11.2024]",Whether an award of the 'defendant’s profits' under the Lanham Act can include an order for the defendant to disgorge the profits of legally separate non-party corporate affiliates.,23-900,,12/11/2024
